Tarz,Ozan,Teknik,Populerlik,Turku Adi,Sozler (tum kitalar tek hucre icinde),,,,,,,,,,,,,
Deyis,Erdal Erzincan,Kisa,Hayir,Eridim Askinla Ben Yana Yana,"Eridim Askinla Ben Yana Yana
Kerem Kullu Kulhan Kozlu Nazli Yar
Bulunmaz Benzerin Baksam Ne Yana (Efendim Tabibim Canim)
Irem Dilli Direm Sozlu Nazli Yar (Efendim Tabibim)

Seklinin Tarifi Yaratmadan Zor
Semsinur Desem De Gene Olmuyor
Buluta Baglanmis Aya Benziyor (Efendim Tabibim Canim)
Mahi Yuzlu Ahu Gozlu Nazli Yar (Efendim Tabibim)

Zevraki'Yi Yakar Bir Ziyade Nar
Ne Derya Sondurur Ne Buz Ne De Kar
Ictikce Icini Yakar Ha Yakar (Efendim Tabibim Canim)
Meski Bizli Aski Tuzlu Nazli Yar (Efendim Tabibim)",,,,,,,,,,,,,
Deyis,Mahzuni Serif,Kisa,Evet,Kanadim Degdi Sevdaya,"Kanadim Degdi Sevdaya
Kondum Kondum Ucamadim
Ask Sarabin Doya Doya 
Yandim Da Icemedim

 Oy Tabip Su Yarayi
 Sar Sara Bilirisen
 Sevda Ates Bir Kaledir
 Var Vara Bilirisen

Icmisim Sarhosum Dunden
Bayram Ederim Bugunden
Asiklarin Koprusunden
Dondum De Gecemedim

Yan Mahzuni Sine Sine
Bugun Bana N'Oldu Yine
Dustum Guzeller Icine
Kendi Kendim Secemedim",,,,,,,,,,,,,
Deyis,Arif Sag,Kisa,Hayir,Insana Muhabbet Duyali,"Kimse Bana Yaran Olmaz Yar Olmaz
Mertlik Hırkasını Giydim Giyeli
Dünya Bomboş Olsa Bana Yer Kalmaz
Insana Muhabbet Duydum Duyali

""Bu Kızılbas Oldu, Yunmaz"" Dediler
""Kapiya Bacaya Konmaz"" Dediler
""Kestiği Haramdır, Yenmez"" Dediler
Sah Huseyn'e Gonul Verdim Vereli 

İmanım Hükümdar Benliğim Esir
Ehl-İ Beyti Sevdim Dediler Kusur
Kimi Korkak Dedi Kimi De Cesur
Kurt İle Kuzuyu Yaydım Yayalı

Kimi Benden Kağıt Hüccet Arıyor
Hal Bilmeyen Dip Dedemi Soruyor
Dostlar Ölümüme Karar Veriyor
Sefil Selimi'yim Dedim Diyeli",,,,,,,,,,,,,
Deyis,Erdal Erzincan,Kisa,Hayir,Gonul Defterini Actim Okuram,"Gonul Defterini Actim Okuram
Yolunu Bilirsen Gir Bak Neler Var
Fazilet-I Ali Kudreti Haktir
Kervanciysan Eger Sur Bak Neler Var

Hakkin Kelamina Olmaz Bahana
Neden Gelmis Oldun Fani Cihana
Her Gece Dursana Ulu Divana
Sitki Butun Olup Yar Yar Dur Bak Neler Var

Dunya Da Gerektir Ahiret Basta
Ne Gezersin Kardas Dag Ile Tasta
Nefsin Ile Ugras Dur Sen Savasta
Sabir Kulunguyle Kir Bak Neler Var

Davut Sulariyem Hey Hey Cevrildim Saha
Ustadimla Gittim Yar Yar Ulu Divana
Duldulu Aliyle Devri Devrana
Girebilir Isen Yar Yar Gir Bak Neler Var",,,,,,,,,,,,,
Deyis,Erdal Erzincan,Kisa,Hayir,Bugun Pazar-I Asktir,"Bugun Pazar-I Asktir Muhtac Olan Candan Gecer
Asigi Sadik Olanlar Lebbi Gulabdan Gecer
Dusmusum Cem Hanesine Ben Aglarim Zar-I Zar 
Aska Dusen Merdaneler Hirkayla Tacdan Gecer

Bir Imrahi Gorse Eger Ol Sinemin Dagini
Otusur Seyda Bulbuller Gorse Husnun Bagini
Yuz Yasinda Ruhban Gorse Gerdaninin Agini
Incili Suya Birakir Vaz Gelir Hacdan Gecer

Sahinin Salsa Pencesin Aniden Kaftan Kapar
Dilber Abitlik Eyleme Zahitler Yoldan Sapar
Tutmusam Mujgan Okuna Garip Sinemi Siper
Temrahin Kahri Zehirdir Yedi Kat Sacdan Gecer

Ben Emrahim Methederim Yedi Dillerde Seni
Yedi Iklim Car Kosede Gurbet Ellerde Seni
Hacilar Hacca Giderken Colde Gorseler Seni
Hayran Olur Mat Kalirlar Vaz Gelir Hacdan Gecer",,,,,,,,,,,,,
Deyis,Arif Sag,Kisa,Hayir,Yari Olmayanin Yarasi M'Olur,"Aksamdan Sabaha Sabrim Yok Iken
Yine Kaldik Gelen Ayin Basina
Hic Kimse Kimsenin Halinden Bilmez
Herkes Dusmus Telasina Isine

Yari Olmayanin Yarasi M'Olur
Arifler Deminde Sirasi M'Olur
Pare Pare Kilsam Caresi M'Olur
Gonul Dusmus Bir Gercegin Pesine

Ayak Ayak Dosta Dogru Varayim
Bir Vech Ile Muradima Ereyim
Ela Gozlu Ben Yarimi Goreyim
Ay Gibi Dogunca Yatam Dosune",,,,,,,,,,,,,
Bozlak,Neset Ertas,Bozlak,Evet,Niye Cattin Kaslarini,"Niye Cattin Kaslarini 
Bilmiyom Yar Suclarimi 
Olursem Ben Saclarini 
Yolma Gayri Yolma Leyli Leyli 

Ben Yandim Askin Narina 
Meyletmem Dunya Malina 
Olursem Ben Mezarima 
Gelme Gayri Gelme Leyli Leyli

Bir Garib'Im Dustum Dile
Gerceklerde Olmaz Hile
Zalimlar Elinden Bile
Alma Beni Alma Leyli Leyli",,,,,,,,,,,,,
Deyis,Sabaht Akkiraz,Kisa,Evet,Sabahin Seher Vaktinde,"Sabahin Seher Vaktinde
Aliyi Gordum Aliyi
Yuzumu Dizine Surdum
Aliyi Gordum Aliyi

Arslani Gordum Mesede
Kirk Mum Yanar Bir Sisede
Yedi Iklim Car Kosede
Aliyi Gordum Aliyi

Arslani Gordum Caginda
Guller Acar Dost Baginda
Musa Ile Tur Daginda
Aliyi Godum Aliyi

Yuce Daglar Coskun Coskun
Kul Himmetim Aska Duskun
Cumle Meleklerden Ustun
Aliyi Gordum Aliyi",,,,,,,,,,,,,
Deyis,Tolga Sag,Kisa,Hayir,Bir Umudum Sende Var Seher Yeli,"Gonlum Gitmek Ister Canan Eline
Bir Umudum Sende Var Seher Yeli
Done Done Yandim Askin Narina
Bir Umudum Sende Var Seher Yeli
Es Deli Deli, Var Seher Yeli, Es Deli Deli
 
Ahuzar’La Gecti Su Benim Omrum
Yaz Baharda Soldu Cicegim Gulum
Her Ne Yana Baksam Tez Gelir Olum
Bir Umudum Sende Var Seher Yeli
Es Deli Deli, Var Seher Yeli, Es Deli Deli

Bir Sevda Var Bende Inceden Ince
Dayanmiyor Yar Aklima Gelince
Kul Riza’Mda Gurbet Elde Kalinca
Bir Umudum Sende Var Seher Yeli
Es Deli Deli, Var Seher Yeli, Es Deli Deli",,,,,,,,,,,,,
Deyis,Erdal Erzincan,Kisa,Hayir,Can Maral,"(Ey Ey Can Maral Can) Gus Gayada Seslenir
(Can Maral Vay Balam) Yar Dizime Yaslanir
(Ey Ey Can Maral Can) Aglama Komur Gozlum
(Can Maral Vay Balam) Kirpiklerin Islanir

(Ey Ey Can Maral Can) Bu Dagda Maral Gezer
(Can Maral Vay Balam) Zulfunu Tarar Gezer
(Ey Ey Can Maral Can) Dag Bizim Maral Bizim
(Can Maral Vay Balam) Eller Burda Ne Geze",,,,,,,,,,,,,
